# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
cycle-cmm-draft-signpost	cycle-cmm-draft-signpost
cycle-cmm-face-commander	cycle-cmm-face-commander
cycle-cmm-m-mono-legend	cycle-cmm-m-mono-legend
cycle-cmm-r-two-color-legend	cycle-cmm-r-two-color-legend
cycle-cmm-sliver	cycle-cmm-sliver
cycle-cmm-tricolor-legend	cycle-cmm-tricolor-legend
cycle-cmr-artifact-partner	cycle-cmr-artifact-partner
cycle-cmr-backward-partner	cycle-cmr-backward-partner
cycle-cmr-bond-land	cycle-cmr-bond-land
cycle-cmr-court	cycle-cmr-court
cycle-cmr-draft-signpost	cycle-cmr-draft-signpost
cycle-cmr-face-commander	cycle-cmr-face-commander
cycle-cmr-familiar	cycle-cmr-familiar
cycle-cmr-forward-partner	cycle-cmr-forward-partner
cycle-cmr-m-partner	cycle-cmr-m-partner
cycle-cmr-m-sorcery	cycle-cmr-m-sorcery
cycle-cmr-r-partner	cycle-cmr-r-partner
cycle-cmr-r-two-color	cycle-cmr-r-two-color
cycle-cmr-tricolor-legend	cycle-cmr-tricolor-legend
cycle-cmr-vow	cycle-cmr-vow
cycle-cmr-will	cycle-cmr-will
cycle-cn2-c-draft	cycle-cn2-c-draft
cycle-cn2-color-conspiracy	cycle-cn2-color-conspiracy
cycle-cn2-draft-signpost	cycle-cn2-draft-signpost
cycle-cn2-r-draft	cycle-cn2-r-draft
cycle-cn2-r-monarch	cycle-cn2-r-monarch
cycle-cn2-u-draft	cycle-cn2-u-draft
cycle-cns-draft-signpost	cycle-cns-draft-signpost
cycle-cns-m-monocolor	cycle-cns-m-monocolor
cycle-cns-pp-counter-recycler	cycle-cns-pp-counter-recycler
cycle-cns-r-two-color	cycle-cns-r-two-color
cycle-colorless-land	cycle-colorless-land
cycle-con-backward-synergy	cycle-con-backward-synergy
cycle-con-basic-landcycling	cycle-con-basic-landcycling
cycle-con-c-domain-spell	cycle-con-c-domain-spell
cycle-con-c-two-color	cycle-con-c-two-color
cycle-con-enemy-hate	cycle-con-enemy-hate
cycle-con-esper-artifact-boost	cycle-con-esper-artifact-boost
cycle-con-esper-scepter	cycle-con-esper-scepter
cycle-con-forward-synergy	cycle-con-forward-synergy
cycle-con-outlander	cycle-con-outlander
cycle-con-r-tricolor	cycle-con-r-tricolor
cycle-con-shard-ability	cycle-con-shard-ability
cycle-con-u-tricolor	cycle-con-u-tricolor
cycle-con-u-two-color	cycle-con-u-two-color
cycle-con-wubrg-ability	cycle-con-wubrg-ability
cycle-csp-allied-cumulative	cycle-csp-allied-cumulative
cycle-csp-enemy-hate	cycle-csp-enemy-hate
cycle-csp-kindle-spell	cycle-csp-kindle-spell
cycle-csp-martyr	cycle-csp-martyr
cycle-csp-pitchspell	cycle-csp-pitchspell
cycle-csp-r-tricolor	cycle-csp-r-tricolor
cycle-csp-rimewind-vertical	cycle-csp-rimewind-vertical
cycle-csp-snow-tapland	cycle-csp-snow-tapland
cycle-csp-surging-spell	cycle-csp-surging-spell
cycle-csp-u-two-color	cycle-csp-u-two-color
cycle-cycling-land	cycle-cycling-land
cycle-da1-charm	cycle-da1-charm
cycle-da1-commander-tax	cycle-da1-commander-tax
cycle-da1-detective	cycle-da1-detective
cycle-da1-mono-eminence	cycle-da1-mono-eminence
cycle-da1-poison-tolerance	cycle-da1-poison-tolerance
cycle-da1-spell-commander	cycle-da1-spell-commander
cycle-da1-stage	cycle-da1-stage
cycle-da1-taught-by	cycle-da1-taught-by
cycle-da1-unclaimed	cycle-da1-unclaimed
cycle-demigod-aura	cycle-demigod-aura
cycle-dft-draft-signpost	cycle-dft-draft-signpost
cycle-dft-gearhulk	cycle-dft-gearhulk
cycle-dft-nonvehicle-signpost	cycle-dft-nonvehicle-signpost
cycle-dft-raceway	cycle-dft-raceway
cycle-dft-roads	cycle-dft-roads
cycle-dft-surveyor	cycle-dft-surveyor
cycle-dft-team-captain	cycle-dft-team-captain
cycle-dft-team-vehicle	cycle-dft-team-vehicle
cycle-dft-tyrant	cycle-dft-tyrant
cycle-dft-verge	cycle-dft-verge
cycle-dgm-c-guild-ability	cycle-dgm-c-guild-ability
cycle-dgm-cluestones	cycle-dgm-cluestones
cycle-dgm-draft-signpost	cycle-dgm-draft-signpost
cycle-dgm-gatekeeper	cycle-dgm-gatekeeper
cycle-dgm-m-two-color	cycle-dgm-m-two-color
cycle-dgm-maze-elemental	cycle-dgm-maze-elemental
cycle-dgm-maze-runner	cycle-dgm-maze-runner
cycle-dgm-r-fuse	cycle-dgm-r-fuse
cycle-dgm-u-fuse	cycle-dgm-u-fuse
cycle-dis-eidolon	cycle-dis-eidolon
cycle-dis-r-split	cycle-dis-r-split
cycle-dis-u-split	cycle-dis-u-split
cycle-dka-allied-flashback	cycle-dka-allied-flashback
cycle-dka-draft-signpost	cycle-dka-draft-signpost
cycle-dka-enemy-flashback	cycle-dka-enemy-flashback
cycle-dka-enemy-utilityland	cycle-dka-enemy-utilityland
cycle-dka-increasing-flashback	cycle-dka-increasing-flashback
cycle-dka-m-monster	cycle-dka-m-monster
cycle-dka-monster-lord	cycle-dka-monster-lord
cycle-dmr-draft-signpost	cycle-dmr-draft-signpost
cycle-dmr-r-two-color	cycle-dmr-r-two-color
cycle-dmr-tricolor-legend	cycle-dmr-tricolor-legend
cycle-dmu-c-back-ally-kicker	cycle-dmu-c-back-ally-kicker
cycle-dmu-c-back-en-kicker	cycle-dmu-c-back-en-kicker
cycle-dmu-c-for-ally-kicker	cycle-dmu-c-for-ally-kicker
cycle-dmu-c-for-en-kicker	cycle-dmu-c-for-en-kicker
cycle-dmu-cost-reduction	cycle-dmu-cost-reduction
cycle-dmu-defiler	cycle-dmu-defiler
cycle-dmu-draft-signpost	cycle-dmu-draft-signpost
cycle-dmu-dual-land	cycle-dmu-dual-land
cycle-dmu-jumpstart	cycle-dmu-jumpstart
cycle-dmu-lord	cycle-dmu-lord
cycle-dmu-mmn-signpost	cycle-dmu-mmn-signpost
cycle-dmu-mn-signpost	cycle-dmu-mn-signpost
cycle-dmu-r-m-saga	cycle-dmu-r-m-saga
cycle-dmu-r-two-color-legend	cycle-dmu-r-two-color-legend
cycle-dmu-tricolor-legend	cycle-dmu-tricolor-legend
cycle-dmu-u-back-ally-kicker	cycle-dmu-u-back-ally-kicker
cycle-dmu-u-back-en-kicker	cycle-dmu-u-back-en-kicker
cycle-dmu-u-for-ally-kicker	cycle-dmu-u-for-ally-kicker
cycle-dmu-u-for-en-kicker	cycle-dmu-u-for-en-kicker
cycle-dmu-u-saga	cycle-dmu-u-saga
cycle-dmu-wedge-kicker	cycle-dmu-wedge-kicker
cycle-dom-draft-signpost	cycle-dom-draft-signpost
cycle-dom-legendary-sorcery	cycle-dom-legendary-sorcery
cycle-dom-m-legend	cycle-dom-m-legend
cycle-dom-memorial	cycle-dom-memorial
cycle-dom-r-mmm-creature	cycle-dom-r-mmm-creature
cycle-drc-alt-commander	cycle-drc-alt-commander
cycle-drc-face-commander	cycle-drc-face-commander
cycle-dsc-alt-commander	cycle-dsc-alt-commander
cycle-dsc-face-commander	cycle-dsc-face-commander
cycle-dsk-draft-signpost	cycle-dsk-draft-signpost
cycle-dsk-glimmer	cycle-dsk-glimmer
cycle-dsk-landcycler	cycle-dsk-landcycler
cycle-dsk-leyline	cycle-dsk-leyline
cycle-dsk-m-room	cycle-dsk-m-room
cycle-dsk-overlord	cycle-dsk-overlord
cycle-dsk-r-two-color	cycle-dsk-r-two-color
cycle-dsk-thirteenland	cycle-dsk-thirteenland
cycle-dsk-u-room	cycle-dsk-u-room
cycle-dsk-verge	cycle-dsk-verge
cycle-dst-affinity-golem	cycle-dst-affinity-golem
cycle-dst-echoing-spell	cycle-dst-echoing-spell
cycle-dst-lucky-charm	cycle-dst-lucky-charm
cycle-dst-pulse	cycle-dst-pulse
cycle-dtk-behold-dragon	cycle-dtk-behold-dragon
cycle-dtk-command	cycle-dtk-command
cycle-dtk-draft-signpost	cycle-dtk-draft-signpost
cycle-dtk-dragonlord	cycle-dtk-dragonlord
cycle-dtk-enemy-hate	cycle-dtk-enemy-hate
cycle-dtk-khan	cycle-dtk-khan
cycle-dtk-monument	cycle-dtk-monument
cycle-dtk-r-megamorpher	cycle-dtk-r-megamorpher
cycle-dtk-r-two-color-dragon	cycle-dtk-r-two-color-dragon
cycle-dtk-regent	cycle-dtk-regent
cycle-dtk-u-monocolor-dragon	cycle-dtk-u-monocolor-dragon
cycle-dual-creatureland	cycle-dual-creatureland
cycle-dual-cycling-land	cycle-dual-cycling-land
cycle-dual-investigate-tapland	cycle-dual-investigate-tapland
cycle-dual-land	cycle-dual-land
cycle-dual-surveil-land	cycle-dual-surveil-land
cycle-dual-tapland	cycle-dual-tapland
cycle-ecc-incarnation	cycle-ecc-incarnation
cycle-ecl-c-hybrid	cycle-ecl-c-hybrid
cycle-ecl-c-hybrid-changeling	cycle-ecl-c-hybrid-changeling
cycle-ecl-champion	cycle-ecl-champion
cycle-ecl-command	cycle-ecl-command
cycle-ecl-draft-signpost	cycle-ecl-draft-signpost
cycle-ecl-eclipsed	cycle-ecl-eclipsed
cycle-ecl-hybrid-signpost	cycle-ecl-hybrid-signpost
cycle-ecl-incarnation	cycle-ecl-incarnation
cycle-ecl-r-dfc	cycle-ecl-r-dfc
cycle-ecl-student	cycle-ecl-student
cycle-ecl-typal-convoke	cycle-ecl-typal-convoke
cycle-ecl-typal-kindred	cycle-ecl-typal-kindred
cycle-ecl-typal-signpost	cycle-ecl-typal-signpost
cycle-ecl-u-behold	cycle-ecl-u-behold
cycle-ecl-u-changeling	cycle-ecl-u-changeling
cycle-eld-adamant-land	cycle-eld-adamant-land
cycle-eld-brawler	cycle-eld-brawler
cycle-eld-c-adamant-spell	cycle-eld-c-adamant-spell
cycle-eld-castle	cycle-eld-castle
cycle-eld-color-equipment	cycle-eld-color-equipment
cycle-eld-color-hate	cycle-eld-color-hate
cycle-eld-court-artifact	cycle-eld-court-artifact
cycle-eld-court-leader	cycle-eld-court-leader
cycle-eld-draft-signpost	cycle-eld-draft-signpost
cycle-eld-hybrid	cycle-eld-hybrid
cycle-eld-paladin	cycle-eld-paladin
cycle-eld-r-adventurer	cycle-eld-r-adventurer
cycle-eld-r-m-two-color	cycle-eld-r-m-two-color
cycle-eld-syr-legend	cycle-eld-syr-legend
cycle-eld-u-adamant-spell	cycle-eld-u-adamant-spell
cycle-eld-u-two-color	cycle-eld-u-two-color
cycle-elemental-servant	cycle-elemental-servant
cycle-ema-draft-signpost	cycle-ema-draft-signpost
cycle-ema-r-two-color	cycle-ema-r-two-color
cycle-ema-tutor	cycle-ema-tutor
cycle-emn-allied-creature	cycle-emn-allied-creature
cycle-emn-draft-signpost	cycle-emn-draft-signpost
cycle-emn-escalate-alliance	cycle-emn-escalate-alliance
cycle-emn-escalate-borrowed	cycle-emn-escalate-borrowed
cycle-emn-escalate-collective	cycle-emn-escalate-collective
cycle-eoe-draft-signpost	cycle-eoe-draft-signpost
cycle-eoe-legend-after	cycle-eoe-legend-after
cycle-eoe-legend-before	cycle-eoe-legend-before
cycle-eoe-planet	cycle-eoe-planet
cycle-eoe-r-mono-spacecraft	cycle-eoe-r-mono-spacecraft
cycle-eoe-r-two-color	cycle-eoe-r-two-color
cycle-eoe-u-spacecraft	cycle-eoe-u-spacecraft
cycle-eve-avatar	cycle-eve-avatar
cycle-eve-c-hybrid-1-drop	cycle-eve-c-hybrid-1-drop
cycle-eve-c-retrace	cycle-eve-c-retrace
cycle-eve-demigod-aura	cycle-eve-demigod-aura
cycle-eve-filterland	cycle-eve-filterland
cycle-eve-hatchling	cycle-eve-hatchling
cycle-eve-hedge-mage	cycle-eve-hedge-mage
cycle-eve-hybrid-modal	cycle-eve-hybrid-modal
cycle-eve-mimic	cycle-eve-mimic
cycle-eve-monocolor-hybrid	cycle-eve-monocolor-hybrid
cycle-eve-r-chroma	cycle-eve-r-chroma
cycle-eve-skulkin	cycle-eve-skulkin
cycle-eve-u-hybrid-3-drop	cycle-eve-u-hybrid-3-drop
cycle-eve-untapper	cycle-eve-untapper
cycle-exo-keeper	cycle-exo-keeper
cycle-exo-oath	cycle-exo-oath
cycle-exo-retriever	cycle-exo-retriever
cycle-extraplanar-praetor	cycle-extraplanar-praetor
cycle-fastland	cycle-fastland
cycle-fdn-draft-signpost	cycle-fdn-draft-signpost
cycle-fdn-enemy-hate	cycle-fdn-enemy-hate
cycle-fdn-planeswalker	cycle-fdn-planeswalker
cycle-fdn-r-two-color	cycle-fdn-r-two-color
cycle-fem-artifact-boon	cycle-fem-artifact-boon
cycle-fem-sacland	cycle-fem-sacland
cycle-fem-storage-land	cycle-fem-storage-land
cycle-fetchland	cycle-fetchland
cycle-fic-alt-commander	cycle-fic-alt-commander
cycle-fic-face-commander	cycle-fic-face-commander
cycle-fin-adventure-land	cycle-fin-adventure-land
cycle-fin-crystal	cycle-fin-crystal
cycle-fin-draft-signpost	cycle-fin-draft-signpost
cycle-fin-dual-town	cycle-fin-dual-town
cycle-fin-landcycler	cycle-fin-landcycler
cycle-fin-r-two-color	cycle-fin-r-two-color
cycle-fin-sidequest	cycle-fin-sidequest
cycle-fin-u-summon	cycle-fin-u-summon
cycle-force-elemental	cycle-force-elemental
cycle-frf-c-monocolor-manifest	cycle-frf-c-monocolor-manifest
cycle-frf-c-two-color	cycle-frf-c-two-color
cycle-frf-clan-enhanced	cycle-frf-clan-enhanced
cycle-frf-dragonlord	cycle-frf-dragonlord
cycle-frf-hybrid-ability	cycle-frf-hybrid-ability
cycle-frf-khan	cycle-frf-khan
cycle-frf-manifest-form	cycle-frf-manifest-form
cycle-frf-modal-etb-creature	cycle-frf-modal-etb-creature
cycle-frf-modal-spell	cycle-frf-modal-spell
cycle-frf-runemark	cycle-frf-runemark
cycle-frf-siege	cycle-frf-siege
cycle-frf-u-4mm-dragon	cycle-frf-u-4mm-dragon
cycle-fut-augur	cycle-fut-augur
cycle-fut-c-cycling	cycle-fut-c-cycling
cycle-fut-dual-land	cycle-fut-dual-land
cycle-fut-grandeur-legend	cycle-fut-grandeur-legend
cycle-fut-magus	cycle-fut-magus
cycle-fut-noncreature-morph	cycle-fut-noncreature-morph
cycle-fut-pact	cycle-fut-pact
cycle-fut-recurring-suspend	cycle-fut-recurring-suspend
cycle-fut-scry-reveal	cycle-fut-scry-reveal
cycle-fut-sliver	cycle-fut-sliver
cycle-fut-spellshaper	cycle-fut-spellshaper
cycle-fut-utilityland	cycle-fut-utilityland
cycle-fut-vanilla	cycle-fut-vanilla
cycle-gn2-mythic	cycle-gn2-mythic
cycle-gn3-mythic	cycle-gn3-mythic
cycle-gnt-mythic	cycle-gnt-mythic
cycle-gpt-leyline	cycle-gpt-leyline
cycle-gpt-magemark	cycle-gpt-magemark
cycle-gpt-nephilim	cycle-gpt-nephilim
cycle-gpt-rusalka	cycle-gpt-rusalka
cycle-grn-c-guild-ability	cycle-grn-c-guild-ability
cycle-grn-guild-champion	cycle-grn-guild-champion
cycle-grn-guildmage	cycle-grn-guildmage
cycle-grn-guildmaster	cycle-grn-guildmaster
cycle-grn-hybrid-creature	cycle-grn-hybrid-creature
cycle-grn-locket	cycle-grn-locket
cycle-grn-m-guild-spell	cycle-grn-m-guild-spell
cycle-grn-mmnn	cycle-grn-mmnn
cycle-grn-precon-tutor	cycle-grn-precon-tutor
cycle-grn-r-monocolor-care	cycle-grn-r-monocolor-care
cycle-grn-r-split	cycle-grn-r-split
cycle-grn-u-split	cycle-grn-u-split
cycle-gtc-denizen	cycle-gtc-denizen
cycle-gtc-land-aura	cycle-gtc-land-aura
cycle-gtc-m-monocolor	cycle-gtc-m-monocolor
cycle-gtc-m-two-color	cycle-gtc-m-two-color
cycle-gtc-primordial	cycle-gtc-primordial
cycle-gtc-x-spell	cycle-gtc-x-spell
cycle-guildgate	cycle-guildgate
cycle-hbg-alora	cycle-hbg-alora
cycle-hbg-amber	cycle-hbg-amber
cycle-hbg-draft-signpost	cycle-hbg-draft-signpost
cycle-hbg-gale	cycle-hbg-gale
cycle-hbg-gate	cycle-hbg-gate
cycle-hbg-gut	cycle-hbg-gut
cycle-hbg-imoen	cycle-hbg-imoen
cycle-hbg-jaheira	cycle-hbg-jaheira
cycle-hbg-karlach	cycle-hbg-karlach
cycle-hbg-klement	cycle-hbg-klement
cycle-hbg-lae-zel	cycle-hbg-lae'zel
cycle-hbg-legend	cycle-hbg-legend
cycle-hbg-lukamina	cycle-hbg-lukamina
cycle-hbg-lulu	cycle-hbg-lulu
cycle-hbg-rasaad	cycle-hbg-rasaad
cycle-hbg-sarevok	cycle-hbg-sarevok
cycle-hbg-shadowheart	cycle-hbg-shadowheart
cycle-hbg-skanos	cycle-hbg-skanos
cycle-hbg-u-specialize	cycle-hbg-u-specialize
cycle-hbg-vhal	cycle-hbg-vhal
cycle-hbg-viconia	cycle-hbg-viconia
cycle-hbg-wilson	cycle-hbg-wilson
cycle-hbg-wyll	cycle-hbg-wyll
cycle-hml-triland	cycle-hml-triland
cycle-hob-bear-vertical	cycle-hob-bear-vertical
cycle-hob-c-adventurer	cycle-hob-c-adventurer
cycle-hob-c-hybrid	cycle-hob-c-hybrid
cycle-hob-company	cycle-hob-company
cycle-hob-draft-signpost	cycle-hob-draft-signpost
cycle-hob-typal-dual	cycle-hob-typal-dual
cycle-hob-u-hybrid	cycle-hob-u-hybrid
cycle-horizon-land	cycle-horizon-land
cycle-hou-allied-aftermath	cycle-hou-allied-aftermath
cycle-hou-defeat	cycle-hou-defeat
cycle-hou-desert-cycling-land	cycle-hou-desert-cycling-land
cycle-hou-desert-painland	cycle-hou-desert-painland
cycle-hou-deserts-matter	cycle-hou-deserts-matter
cycle-hou-draft-signpost	cycle-hou-draft-signpost
cycle-hou-enemy-aftermath	cycle-hou-enemy-aftermath
cycle-hou-god	cycle-hou-god
cycle-hou-gods-last-act	cycle-hou-gods-last-act
cycle-hou-hour	cycle-hou-hour
cycle-hou-modal-spell	cycle-hou-modal-spell
cycle-hou-power-eternalizer	cycle-hou-power-eternalizer
cycle-hou-torment	cycle-hou-torment
cycle-hybrid-filterland	cycle-hybrid-filterland
cycle-hybrid-modal	cycle-hybrid-modal
cycle-ice-depletion-land	cycle-ice-depletion-land
cycle-ice-painland	cycle-ice-painland
cycle-ice-r-tricolor	cycle-ice-r-tricolor
cycle-ice-r-two-color	cycle-ice-r-two-color
cycle-ice-scarab	cycle-ice-scarab
cycle-ice-talisman	cycle-ice-talisman
cycle-ice-two-color-enemy-hate	cycle-ice-two-color-enemy-hate
cycle-iko-apex	cycle-iko-apex
cycle-iko-apex-spell	cycle-iko-apex-spell
cycle-iko-c-keyword-boost	cycle-iko-c-keyword-boost
cycle-iko-c-mutate	cycle-iko-c-mutate
cycle-iko-companion	cycle-iko-companion
cycle-iko-counter-cycler	cycle-iko-counter-cycler
cycle-iko-crystal	cycle-iko-crystal
cycle-iko-draft-signpost	cycle-iko-draft-signpost
cycle-iko-keyword-bonder	cycle-iko-keyword-bonder
cycle-iko-keyword-mentor	cycle-iko-keyword-mentor
cycle-iko-keyword-monster	cycle-iko-keyword-monster
cycle-iko-legendary-human	cycle-iko-legendary-human
cycle-iko-modal-creature	cycle-iko-modal-creature
cycle-iko-mutate-hybrid	cycle-iko-mutate-hybrid
cycle-iko-mutate-x	cycle-iko-mutate-x
cycle-iko-mythos	cycle-iko-mythos
cycle-iko-r-mutate	cycle-iko-r-mutate
cycle-iko-signpost-creature	cycle-iko-signpost-creature
cycle-iko-signpost-noncreature	cycle-iko-signpost-noncreature
cycle-iko-triome	cycle-iko-triome
cycle-iko-u-mutate	cycle-iko-u-mutate
cycle-iko-ultimatum	cycle-iko-ultimatum
cycle-iko-wedge-enchantment	cycle-iko-wedge-enchantment
cycle-ima-draft-signpost	cycle-ima-draft-signpost
cycle-ima-r-two-color	cycle-ima-r-two-color
cycle-infinity-stone	cycle-infinity-stone
cycle-innistrad-legend-angel	cycle-innistrad-legend-angel
cycle-inr-delver	cycle-inr-delver
cycle-inr-draft-signpost	cycle-inr-draft-signpost
cycle-inr-r-two-color	cycle-inr-r-two-color
cycle-inv-allied-2-2	cycle-inv-allied-2-2
cycle-inv-allied-t-ability	cycle-inv-allied-t-ability
cycle-inv-apprentice	cycle-inv-apprentice
cycle-inv-backward-ability	cycle-inv-backward-ability
cycle-inv-c-ally-kicker-spell	cycle-inv-c-ally-kicker-spell
cycle-inv-c-nonc-kicker-spell	cycle-inv-c-nonc-kicker-spell
cycle-inv-c-two-color	cycle-inv-c-two-color
cycle-inv-cameo	cycle-inv-cameo
cycle-inv-djinn	cycle-inv-djinn
cycle-inv-domain-spell	cycle-inv-domain-spell
cycle-inv-dragon-attendant	cycle-inv-dragon-attendant
cycle-inv-dual-tapland	cycle-inv-dual-tapland
cycle-inv-emissary	cycle-inv-emissary
cycle-inv-flash-sorcery	cycle-inv-flash-sorcery
cycle-inv-forward-ability	cycle-inv-forward-ability
cycle-inv-leech	cycle-inv-leech
cycle-inv-master	cycle-inv-master
cycle-inv-mutation	cycle-inv-mutation
cycle-inv-primeval-dragon	cycle-inv-primeval-dragon
cycle-inv-sac-enchantment	cycle-inv-sac-enchantment
cycle-inv-sacland	cycle-inv-sacland
cycle-inv-selfbounce-aura	cycle-inv-selfbounce-aura
cycle-inv-split-card	cycle-inv-split-card
cycle-inv-weaver	cycle-inv-weaver
cycle-isd-allied-flashback	cycle-isd-allied-flashback
cycle-isd-allied-utilityland	cycle-isd-allied-utilityland
cycle-isd-checkland	cycle-isd-checkland
cycle-isd-draft-signpost	cycle-isd-draft-signpost
cycle-isd-r-flashback	cycle-isd-r-flashback
cycle-j21-perpetual	cycle-j21-perpetual
cycle-j21-planeswalker	cycle-j21-planeswalker
cycle-j22-hybrid-legend	cycle-j22-hybrid-legend
cycle-j22-m-mono-legend	cycle-j22-m-mono-legend
cycle-jmp-hybrid-legend	cycle-jmp-hybrid-legend
cycle-jmp-thriving-land	cycle-jmp-thriving-land
cycle-jou-c-heroic-grower	cycle-jou-c-heroic-grower
cycle-jou-c-strive	cycle-jou-c-strive
cycle-jou-dictate	cycle-jou-dictate
cycle-jou-draft-signpost	cycle-jou-draft-signpost
cycle-jou-font	cycle-jou-font
cycle-jou-land-type-matters	cycle-jou-land-type-matters
cycle-jou-minor-god	cycle-jou-minor-god
cycle-jou-nymph	cycle-jou-nymph
cycle-jou-u-bestow	cycle-jou-u-bestow
cycle-jud-1mv-martyr	cycle-jud-1mv-martyr
cycle-jud-gorger-vertical	cycle-jud-gorger-vertical
cycle-jud-incarnation	cycle-jud-incarnation
cycle-jud-wish	cycle-jud-wish
cycle-jud-wormfang-vertical	cycle-jud-wormfang-vertical
cycle-jumpstart-hybrid-legend	cycle-jumpstart-hybrid-legend
cycle-keyrune	cycle-keyrune
cycle-khc-face-commander	cycle-khc-face-commander
cycle-khm-draft-signpost	cycle-khm-draft-signpost
cycle-khm-legendary-signpost	cycle-khm-legendary-signpost
cycle-khm-living-weapon	cycle-khm-living-weapon
cycle-khm-m-foretell-spell	cycle-khm-m-foretell-spell
cycle-khm-m-god	cycle-khm-m-god
cycle-khm-pathway	cycle-khm-pathway
cycle-khm-r-god	cycle-khm-r-god
cycle-khm-r-saga	cycle-khm-r-saga
cycle-khm-realm	cycle-khm-realm
cycle-khm-rune	cycle-khm-rune
cycle-khm-snow-scaler	cycle-khm-snow-scaler
cycle-khm-snow-tapland	cycle-khm-snow-tapland
cycle-khm-u-saga	cycle-khm-u-saga
cycle-kld-color-artifact	cycle-kld-color-artifact
cycle-kld-draft-signpost	cycle-kld-draft-signpost
cycle-kld-fastland	cycle-kld-fastland
cycle-kld-gearhulk	cycle-kld-gearhulk
cycle-kld-module	cycle-kld-module
cycle-kld-puzzleknot	cycle-kld-puzzleknot
cycle-kld-thriving-creature	cycle-kld-thriving-creature
cycle-ktk-ascendancy	cycle-ktk-ascendancy
cycle-ktk-banner	cycle-ktk-banner
cycle-ktk-c-3mno-creature	cycle-ktk-c-3mno-creature
cycle-ktk-charm	cycle-ktk-charm
cycle-ktk-draft-signpost	cycle-ktk-draft-signpost
cycle-ktk-enemy-ability	cycle-ktk-enemy-ability
cycle-ktk-gainland	cycle-ktk-gainland
cycle-ktk-khan	cycle-ktk-khan
cycle-ktk-r-2mno-creature	cycle-ktk-r-2mno-creature
cycle-ktk-r-two-color	cycle-ktk-r-two-color
cycle-ktk-reveal-morpher	cycle-ktk-reveal-morpher
cycle-ktk-u-2mno-creature	cycle-ktk-u-2mno-creature
cycle-ktk-wedgeland	cycle-ktk-wedgeland
cycle-land	cycle-land
cycle-lcc-alt-commander	cycle-lcc-alt-commander
cycle-lcc-face-commander	cycle-lcc-face-commander
cycle-lci-c-craft	cycle-lci-c-craft
cycle-lci-draft-signpost	cycle-lci-draft-signpost
cycle-lci-god	cycle-lci-god
cycle-lci-hidden-land	cycle-lci-hidden-land
cycle-lci-landcycler	cycle-lci-landcycler
cycle-lci-r-land-dfc	cycle-lci-r-land-dfc
cycle-lci-r-two-color	cycle-lci-r-two-color
cycle-lci-restless-land	cycle-lci-restless-land
cycle-lea-basic-land	cycle-lea-basic-land
cycle-lea-boon	cycle-lea-boon
cycle-lea-circle-protection	cycle-lea-circle-protection
cycle-lea-lace	cycle-lea-lace
cycle-lea-lucky-charm	cycle-lea-lucky-charm
cycle-lea-moxen	cycle-lea-moxen
cycle-lea-red-escalate	cycle-lea-red-escalate
cycle-lea-slush-art	cycle-lea-slush-art
cycle-lea-ward	cycle-lea-ward
cycle-leg-anti-landwalk-enchant	cycle-leg-anti-landwalk-enchant
cycle-leg-banding-land	cycle-leg-banding-land
cycle-leg-battery	cycle-leg-battery
cycle-leg-color-wash-instant	cycle-leg-color-wash-instant
cycle-leg-elder-dragon	cycle-leg-elder-dragon
cycle-leg-glyph	cycle-leg-glyph
cycle-leg-legendary-land	cycle-leg-legendary-land
cycle-lgn-c-sliver	cycle-lgn-c-sliver
cycle-lgn-gempalm	cycle-lgn-gempalm
cycle-lgn-invoker	cycle-lgn-invoker
cycle-lgn-muse	cycle-lgn-muse
cycle-lgn-r-sliver	cycle-lgn-r-sliver
cycle-lgn-u-sliver	cycle-lgn-u-sliver
cycle-lrw-c-changeling	cycle-lrw-c-changeling
cycle-lrw-clash-counter-creature	cycle-lrw-clash-counter-creature
cycle-lrw-command	cycle-lrw-command
cycle-lrw-harbinger	cycle-lrw-harbinger
cycle-lrw-hideaway-land	cycle-lrw-hideaway-land
cycle-lrw-incarnation	cycle-lrw-incarnation
cycle-lrw-legend	cycle-lrw-legend
cycle-lrw-lorwyn-five	cycle-lrw-lorwyn-five
cycle-lrw-r-champion	cycle-lrw-r-champion
cycle-lrw-r-changeling	cycle-lrw-r-changeling
cycle-lrw-token-fuel	cycle-lrw-token-fuel
cycle-lrw-typal-cantrip	cycle-lrw-typal-cantrip
cycle-lrw-typal-dual-land	cycle-lrw-typal-dual-land
cycle-lrw-typal-land	cycle-lrw-typal-land
cycle-lrw-typal-legend	cycle-lrw-typal-legend
cycle-lrw-typal-lord	cycle-lrw-typal-lord
cycle-lrw-typal-revealer	cycle-lrw-typal-revealer
cycle-lrw-u-changeling	cycle-lrw-u-changeling
cycle-lrw-velis-vel	cycle-lrw-velis-vel
cycle-lrw-vivid-land	cycle-lrw-vivid-land
cycle-ltc-alt-commander	cycle-ltc-alt-commander
cycle-ltc-face-commander	cycle-ltc-face-commander
cycle-ltr-draft-signpost	cycle-ltr-draft-signpost
